#projectid       semester        tagpriority     remaining_hrs   allocated_hrs   taumin  taumax
M16AL001        LAP     125     73.015  200     0       0.12
#M16AL004        LAP     200     4.9     224     0.05    0.08
#M16AL005        LAP     225     144.65  706     0.08    0.32
M16AL006        LAP     250     124.25  330     0       0.05
M17BL005        LAP     300     167.8   276.3   0.05    0.12
M17BL011        LAP     325     158.2   224     0       0.08
M17BL009        LAP     350     287.85  319     0       0.05
M17BL004        LAP     375     170.1   403.9   0       0.32
M17BL002        LAP     400     265.3   515     0       0.32
M17BL001        LAP     425     757.3   873     0.05    0.12
#M17BL010        LAP     450     454     454     0.12    0.32
M17BL006        LAP     475     273.3   305.2   0.05    0.12
M17BL007        LAP     500     350.35  400     0.08    0.12
