target "start time (UTC)" "end time (UTC)"
"IRAS 05090-1154" "2019-04-05 03:30:00.000" "2019-04-05 04:01:00.000"
TransitionBlock "2019-04-05 04:01:00.000" "2019-04-05 04:02:00.000"
"Unused Time" "2019-04-05 04:02:00.000" "2019-04-05 04:18:20.002"
CAL_CRL618 "2019-04-05 04:18:20.002" "2019-04-05 04:21:20.002"
TransitionBlock "2019-04-05 04:21:20.002" "2019-04-05 04:22:20.002"
"Unused Time" "2019-04-05 04:22:20.002" "2019-04-05 04:25:40.002"
CAL_0917+449 "2019-04-05 04:25:40.002" "2019-04-05 04:28:40.002"
TransitionBlock "2019-04-05 04:28:40.002" "2019-04-05 04:30:00.002"
"Unused Time" "2019-04-05 04:30:00.002" "2019-04-05 04:37:20.002"
"IRAS 05090-1154" "2019-04-05 04:37:20.002" "2019-04-05 05:08:20.002"
TransitionBlock "2019-04-05 05:08:20.002" "2019-04-05 05:09:20.002"
"Unused Time" "2019-04-05 05:09:20.002" "2019-04-05 05:15:00.004"
CAL_CRL618 "2019-04-05 05:15:00.004" "2019-04-05 05:18:00.004"
TransitionBlock "2019-04-05 05:18:00.004" "2019-04-05 05:19:00.004"
"Unused Time" "2019-04-05 05:19:00.004" "2019-04-05 05:22:00.004"
CAL_IRC+10216 "2019-04-05 05:22:00.004" "2019-04-05 05:25:00.004"
TransitionBlock "2019-04-05 05:25:00.004" "2019-04-05 05:25:40.004"
"Unused Time" "2019-04-05 05:25:40.004" "2019-04-05 05:26:00.004"
CAL_0917+449 "2019-04-05 05:26:00.004" "2019-04-05 05:29:00.004"
TransitionBlock "2019-04-05 05:29:00.004" "2019-04-05 05:30:20.004"
"Unused Time" "2019-04-05 05:30:20.004" "2019-04-05 05:41:20.005"
"IRAS 07434-3750" "2019-04-05 05:41:20.005" "2019-04-05 06:12:20.005"
TransitionBlock "2019-04-05 06:12:20.005" "2019-04-05 06:13:20.005"
"Unused Time" "2019-04-05 06:13:20.005" "2019-04-05 06:16:40.006"
CAL_IRC+10216 "2019-04-05 06:16:40.006" "2019-04-05 06:19:40.006"
TransitionBlock "2019-04-05 06:19:40.006" "2019-04-05 06:20:20.006"
"Unused Time" "2019-04-05 06:20:20.006" "2019-04-05 06:20:40.006"
CAL_0917+449 "2019-04-05 06:20:40.006" "2019-04-05 06:23:40.006"
TransitionBlock "2019-04-05 06:23:40.006" "2019-04-05 06:24:40.006"
"Unused Time" "2019-04-05 06:24:40.006" "2019-04-05 06:27:00.007"
CAL_CRL618 "2019-04-05 06:27:00.007" "2019-04-05 06:30:00.007"
