isoTime,mean,median,count
2010-01-01,0.0922296187129203,0.0877,26463
2010-01-02,0.15757249168868698,0.1543,35193
2010-01-03,0.2856883089710547,0.2864,34890
2010-01-04,0.18723926718452413,0.1909,34115
2010-01-05,0.15373729575776082,0.1526,33355
2010-01-06,0.13130805033665396,0.1291,34011
2010-01-07,0.08297303880003666,0.0808,34201
2010-01-08,0.15665790070344787,0.154,34402
2010-01-09,0.10150325587905724,0.0989,35720
2010-01-10,0.05532568341837527,0.0547,35081
2010-01-11,0.04469220226547056,0.0444,31958
2010-01-12,0.036860611145172015,0.0353,30991
2010-01-13,0.05230681350528918,0.0509,34505
2010-01-14,0.10879894080464832,0.1064,35121
2010-01-15,0.033038798713169136,0.0328,27354
2010-01-16,0.04280733716082342,0.0422,29262
2010-01-17,0.049942727028297926,0.0495,29754
2010-01-18,0.038445134413852076,0.0387,30726
2010-01-19,0.03083434682612684,0.0307,21740
2010-01-20,0.030064554464744774,0.0301,21289
2010-01-21,0.272706742197045,0.2183,9003
2010-01-22,0.2693970250521921,0.2122,1916
2010-01-23,,,0
2010-01-24,,,0
2010-01-25,,,0
2010-01-26,0.06293378350545861,0.0627,33987
2010-01-27,0.06541282015198231,0.0623,35530
2010-01-28,0.07069605101369653,0.07200000000000001,34971
2010-01-29,0.07205943374664474,0.0735,35002
2010-01-30,0.14092069673333077,0.1367,34102
2010-01-31,0.044156408458932955,0.0402,34236
2010-02-01,0.03972606585180301,0.0394,34198
2010-02-02,0.050845169193082,0.0521,32655
2010-02-03,,,0
2010-02-04,,,0
2010-02-05,0.03485749203360291,0.034,27616
2010-02-06,0.039955824847249945,0.042,9820
2010-02-07,,,0
2010-02-08,,,0
2010-02-09,,,0
2010-02-10,,,0
2010-02-11,,,0
2010-02-12,0.05080981615692576,0.0502,35737
2010-02-13,0.04299000527017601,0.0447,32257
2010-02-14,0.047612281756167975,0.0476,33277
2010-02-15,0.06821170653315622,0.0657,32358
2010-02-16,0.05194975196612386,0.0499,33060
2010-02-17,0.046375477624412305,0.0462,34703
2010-02-18,0.04734903582807676,0.0379,35782
2010-02-19,0.08027198950687982,0.0779,35833
2010-02-20,0.0344101327000949,0.033,35795
2010-02-21,0.09346013116801817,0.08900000000000001,32020
2010-02-22,0.09226173087660192,0.0936,35820
2010-02-23,0.09508562660859209,0.0946,25255
2010-02-24,0.09479037328650489,0.0924,35308
2010-02-25,0.0737312324731627,0.0727,35303
2010-02-26,0.08502985755464133,0.0802,35733
2010-02-27,0.11697831236121135,0.1157,35126
2010-02-28,0.09725878419962838,0.099,35746
2010-03-01,0.06569599977589516,0.0555,35698
2010-03-02,0.03330282620253591,0.0325,35737
2010-03-03,0.03618108482366308,0.0353,33941
2010-03-04,0.07290201953461811,0.0731,34810
2010-03-05,0.08858448938378045,0.0877,35653
2010-03-06,0.08580522162688899,0.08900000000000001,20530
2010-03-07,0.05397885268445977,0.0556,35631
2010-03-08,0.03199957036045152,0.0312,35844
2010-03-09,0.035715646904408864,0.0335,35809
2010-03-10,0.0324389445944205,0.0311,31116
2010-03-11,0.030681927958622495,0.0302,34036
2010-03-12,0.04187635281843179,0.0428,35463
2010-03-13,0.03356825085881796,0.0335,35223
2010-03-14,0.20422376566680686,0.2016,35505
2010-03-15,,,0
2010-03-16,,,0
2010-03-17,0.08189137617604667,0.0738,31355
2010-03-18,0.045261470464432796,0.0464,35635
2010-03-19,0.07479346288086057,0.0754,31803
2010-03-20,0.08992337253315424,0.0893,34609
2010-03-21,0.05082263907219881,0.0513,35611
2010-03-22,0.09861233050602763,0.09655,34662
2010-03-23,0.38457491392448234,0.3853,35434
2010-03-24,0.2374328322762717,0.23800000000000002,35791
2010-03-25,0.14112159567918534,0.13699999999999998,35734
2010-03-26,0.09757985728285998,0.0993,32652
2010-03-27,0.033173528513859914,0.0319,32756
2010-03-28,0.055250475541372954,0.0553,32279
2010-03-29,0.05501641867162795,0.0548,33334
2010-03-30,0.07373967479674849,0.0738,33825
2010-03-31,,,0
2010-04-01,,,0
2010-04-02,0.1002787966281715,0.10099999999999999,30132
2010-04-03,0.08072092737430535,0.0778,35800
2010-04-04,0.09291062677981912,0.0928,35467
2010-04-05,0.10096251959956609,0.0965,33164
2010-04-06,0.10183412270246793,0.1019,31882
2010-04-07,0.08575704600042197,0.0819,32891
2010-04-08,0.05111162455290186,0.051,17334
2010-04-09,0.07559036212220394,0.0736,32061
2010-04-10,0.08004482014149374,0.0783,30107
2010-04-11,0.05314229239027295,0.0543,31670
2010-04-12,0.0414214807743984,0.0375,33523
2010-04-13,0.03961499860174544,0.039,32183
2010-04-14,0.07124872060969782,0.0697,30835
2010-04-15,0.14234466728606096,0.146,31213
2010-04-16,0.04030143818065317,0.0388,31220
2010-04-17,0.05689712351945702,0.0573,30732
2010-04-18,0.06567774897105703,0.063,30857
2010-04-19,0.060073098193042136,0.0594,31102
2010-04-20,0.0689787339971549,0.0688,30932
2010-04-21,0.0415502585546475,0.0422,31328
2010-04-22,0.06198017749583675,0.065,31212
2010-04-23,0.06260368391727561,0.0611,30511
2010-04-24,0.04212089010881313,0.0419,30603
2010-04-25,0.05806971371599207,0.0583,35105
2010-04-26,0.09547331351987946,0.0843,35666
2010-04-27,0.19230093166830653,0.1871,35635
2010-04-28,0.13585178093763517,0.1347,35515
2010-04-29,0.12578507370663142,0.1261,35682
2010-04-30,0.0980474461099174,0.1,35025
2010-05-01,0.20458762096134522,0.0917,18911
2010-05-02,0.24355358806566313,0.24925,18032
2010-05-03,,,0
2010-05-04,0.05756595236515694,0.0552,30146
2010-05-05,0.06804864066193819,0.0694,28764
2010-05-06,0.07532954674623264,0.0753,28152
2010-05-07,0.08384266067091184,0.0839,30466
2010-05-08,0.08610381198315073,0.0855,32529
2010-05-09,0.11434432325235365,0.1126,32272
2010-05-10,0.10237852241113267,0.1024,32350
2010-05-11,0.09076973380982284,0.0923,29941
2010-05-12,0.0989590333453276,0.0901,30559
2010-05-13,0.07740677870923637,0.0741,24931
2010-05-14,0.06485518314196166,0.0658,31178
2010-05-15,0.06821103443677899,0.0684,29997
2010-05-16,0.07296778226457598,0.0735,30955
2010-05-17,0.11050590161600506,0.1104,28094
2010-05-18,0.09166326334529785,0.0936,35387
2010-05-19,0.057346682564168736,0.0558,35645
2010-05-20,,,0
2010-05-21,3.136137477504493,3.2849000000000004,33340
2010-05-22,0.07203198636099892,0.0712,27568
2010-05-23,0.05098007263922657,0.0508,24780
2010-05-24,0.0518396879063712,0.0524,26915
2010-05-25,0.07425963798219688,0.0732,33700
2010-05-26,0.04746815656385577,0.0477,28078
2010-05-27,0.07971908535204962,0.0596,30919
2010-05-28,0.12503714977123964,0.1328,26447
2010-05-29,0.08911395356154217,0.0852,31784
2010-05-30,0.06132154258168196,0.0609,28005
2010-05-31,0.05914949560689817,0.0592,30730
2010-06-01,0.04529749676770583,0.0462,27844
2010-06-02,0.04725244274461616,0.0419,21963
2010-06-03,0.04600265566495686,0.0464,28844
2010-06-04,0.0711595583596221,0.0685,30115
2010-06-05,0.11702739113900229,0.1146,31554
2010-06-06,0.0754321798222697,0.0818,28695
2010-06-07,,,0
2010-06-08,0.21244896060927648,0.2011,32038
2010-06-09,0.14926868881933655,0.1473,30034
2010-06-10,0.0980482834275823,0.0966,32361
2010-06-11,0.07758909874705461,0.0756,32244
2010-06-12,0.09238641225160532,0.0949,32257
2010-06-13,0.08536972166165435,0.081,26263
2010-06-14,0.0833842240845167,0.0807,30667
2010-06-15,0.06713038100119675,0.0699,29265
2010-06-16,0.08380460024503035,0.0876,25303
2010-06-17,0.06520655701463526,0.0674,22617
2010-06-18,0.0651589230070114,0.0666,30808
2010-06-19,0.07107497098039137,0.0716,31875
2010-06-20,0.07918635412177544,0.0728,32486
2010-06-21,0.13887435037977994,0.136,32519
2010-06-22,0.06695459848578915,0.0671,32228
2010-06-23,0.06839840967912937,0.0661,32069
2010-06-24,0.09568410813949528,0.0915,30997
2010-06-25,0.08154945591690234,0.0841,32348
